__time,/RMSE/data
1669053181.096344,0.106897
1669053181.296299,0.105765
1669053181.496237,0.106425
1669053181.696193,0.106425
1669053181.896187,0.106425
1669053182.096184,0.106425
1669053182.296176,0.106425
1669053182.496203,0.104680
1669053182.696191,0.104680
1669053182.896229,0.104680
1669053183.096210,0.100304
1669053183.296217,0.101539
1669053183.496153,0.101539
1669053183.696214,0.097885
1669053183.896227,0.097885
1669053184.096182,0.097885
1669053184.296234,0.097885
1669053184.496171,0.097885
1669053184.696454,0.097885
1669053184.896368,0.097885
1669053185.096309,0.093708
1669053185.296172,0.093708
1669053185.496208,0.090392
1669053185.696228,0.084331
1669053185.896187,0.084331
1669053186.096245,0.084331
1669053186.296187,0.084331
1669053186.496217,0.084331
1669053186.696196,0.084331
1669053186.896199,0.084331
1669053187.096231,0.084331
1669053187.296211,0.084331
1669053187.496201,0.084331
1669053187.696233,0.084331
1669053187.896240,0.084331
1669053188.096174,0.076586
1669053188.296404,0.078361
1669053188.496391,0.078361
1669053188.696463,0.078361
1669053188.896212,0.074968
1669053189.096237,0.074968
1669053189.296209,0.074968
1669053189.496181,0.074968
1669053189.696174,0.073470
1669053189.896270,0.071823
1669053190.096224,0.068307
1669053190.296194,0.068307
1669053190.496225,0.068307
1669053190.696218,0.068307
1669053190.896225,0.068307
1669053191.096229,0.068307
1669053191.296199,0.070528
1669053191.496234,0.070167
1669053191.696410,0.072509
1669053191.896430,0.071753
1669053192.096289,0.071753
1669053192.296360,0.071753
1669053192.496230,0.071753
1669053192.696243,0.071651
1669053192.896185,0.071651
1669053193.096203,0.071338
1669053193.296300,0.071338
1669053193.496181,0.074814
1669053193.696158,0.074779
1669053193.896188,0.074779
1669053194.096265,0.075897
1669053194.296199,0.075897
1669053194.496194,0.075266
1669053194.696218,0.079882
1669053194.896252,0.080776
1669053195.096234,0.080776
1669053195.296192,0.080776
1669053195.496210,0.081185
1669053195.696162,0.081185
1669053195.896451,0.081185
1669053196.096412,0.081185
1669053196.296478,0.083394
1669053196.496482,0.084514
1669053196.696269,0.084733
1669053196.896229,0.087620
1669053197.096199,0.087620
1669053197.296312,0.088152
1669053197.496292,0.088152
1669053197.696249,0.090417
1669053197.896205,0.089859
1669053198.096274,0.089859
1669053198.296219,0.089859
1669053198.496169,0.091117
1669053198.696180,0.093090
1669053198.896226,0.093135
1669053199.096246,0.100956
1669053199.296243,0.102816
1669053199.496271,0.102816
1669053199.696234,0.101714
1669053199.896240,0.101714
1669053200.096379,0.105796
1669053200.296412,0.104313
1669053200.496427,0.105293
1669053200.696211,0.108834
1669053200.896276,0.108834
1669053201.096259,0.114915
1669053201.296210,0.117082
1669053201.496207,0.117082
1669053201.696218,0.117082
1669053201.896258,0.117082
1669053202.096217,0.131201
1669053202.296293,0.131201
1669053202.496225,0.125778
1669053202.696208,0.126072
1669053202.896273,0.126072
1669053203.096224,0.126072
1669053203.296220,0.125750
1669053203.496294,0.125750
1669053203.696231,0.124851
1669053203.896281,0.124851
1669053204.096205,0.129262
1669053204.296466,0.129262
1669053204.496397,0.129262
1669053204.696422,0.129262
1669053204.896223,0.138432
1669053205.096211,0.138432
1669053205.296190,0.138432
1669053205.496184,0.136627
1669053205.696197,0.139588
1669053205.896182,0.139588
1669053206.096226,0.138420
1669053206.296202,0.141735
1669053206.496175,0.141735
1669053206.696199,0.138495
1669053206.896220,0.138495
1669053207.096168,0.138495
1669053207.296161,0.138495
1669053207.496229,0.138495
1669053207.696219,0.138495
1669053207.896207,0.138495
1669053208.096226,0.138495
1669053208.296387,0.138495
1669053208.496286,0.138495
1669053208.696473,0.138495
1669053208.896298,0.138495
1669053209.096398,0.144058
1669053209.296270,0.145133
1669053209.496201,0.150587
1669053209.696198,0.147975
1669053209.896204,0.147975
1669053210.096166,0.147975
1669053210.296177,0.151009
1669053210.496211,0.149437
1669053210.696193,0.150452
1669053210.896166,0.150864
1669053211.096233,0.148952
1669053211.296168,0.149723
1669053211.496197,0.151521
1669053211.696236,0.151956
1669053211.896283,0.152478
1669053212.096334,0.148957
1669053212.296264,0.152679
1669053212.496291,0.152156
1669053212.696431,0.153181
1669053212.896219,0.152010
1669053213.096197,0.151202
1669053213.296219,0.151202
1669053213.496192,0.153971
1669053213.696205,0.155825
1669053213.896180,0.155825
1669053214.096228,0.157253
1669053214.296225,0.157253
1669053214.496189,0.157253
1669053214.696213,0.153899
1669053214.896162,0.151984
1669053215.096159,0.152153
1669053215.296209,0.152354
1669053215.496230,0.152354
1669053215.696229,0.149340
1669053215.896214,0.150184
1669053216.096459,0.153072
1669053216.296408,0.151233
1669053216.496341,0.151233
1669053216.696233,0.151233
1669053216.896280,0.149631
1669053217.096242,0.149631
1669053217.296267,0.149631
1669053217.496232,0.149631
1669053217.696179,0.144821
1669053217.896196,0.144821
1669053218.096232,0.144821
1669053218.296175,0.146417
1669053218.496156,0.146417
1669053218.696275,0.147837
1669053218.896208,0.145876
1669053219.096204,0.145876
1669053219.296188,0.145876
1669053219.496260,0.144659
1669053219.696257,0.144659
1669053219.896240,0.144989
1669053220.096174,0.144989
1669053220.296268,0.142156
1669053220.496252,0.142156
1669053220.696507,0.142156
1669053220.896395,0.139814
1669053221.096530,0.139814
1669053221.296265,0.139814
1669053221.496290,0.137392
1669053221.696201,0.136503
1669053221.896258,0.136503
1669053222.096195,0.136503
1669053222.296266,0.136503
1669053222.496191,0.136503
1669053222.696197,0.135111
1669053222.896169,0.137426
1669053223.096165,0.132447
1669053223.296175,0.132001
1669053223.496213,0.130747
1669053223.696270,0.130602
1669053223.896245,0.133801
1669053224.096249,0.133801
1669053224.296274,0.127658
1669053224.496302,0.127658
1669053224.696422,0.121512
1669053224.896370,0.124510
1669053225.096297,0.125626
1669053225.296233,0.130024
1669053225.496259,0.126634
1669053225.696191,0.126634
1669053225.896195,0.126634
1669053226.096235,0.124379
1669053226.296201,0.124379
1669053226.496171,0.124379
1669053226.696205,0.122079
1669053226.896200,0.120406
1669053227.096196,0.120406
1669053227.296177,0.120406
1669053227.496428,0.117896
1669053227.696252,0.113397
1669053227.896215,0.113397
1669053228.096222,0.113397
1669053228.296233,0.113397
1669053228.496417,0.113397
1669053228.696447,0.113397
1669053228.896515,0.113397
1669053229.096391,0.112152
1669053229.296231,0.112152
1669053229.496201,0.112152
1669053229.696255,0.112152
1669053229.896216,0.112152
1669053230.096174,0.112152
1669053230.296188,0.112152
1669053230.496192,0.104628
1669053230.696165,0.104628
1669053230.896219,0.104628
1669053231.096189,0.104628
